瑴	瑴玉裁成却附离
蘅	蘅薇香满元宵景 蘅芷阶通萝薜门 蘅皋向晚舣轻航 蘅皋芝田晴翠长 蘅＊日暮伤离绪 蘅臯驻马独依依 蘅皋波暖寄微辞 蘅垂桂裛香氛氲
藿	藿羹讵识罗珍羞 藿食犹惭远帝阍 藿叶俄同夏鱠鱼 藿靡莎长萦冶步 藿山到后知端的 藿食焉知肉食谋
蘧	蘧蘧飞堕晚花前 蘧瑗知非我所师 蘧蘧自适无非己 蘧蘧形开如酒醒 蘧子知非惭已晚 蘧瑗知言与我违 蘧庐一付梦魂中 蘧然真梦午钟回 蘧蒢作帆三版船 蘧庐置我水云间
藻	藻鉴难逢耻后生 藻井风高蛛坏网 藻井仰窥尘漠漠 藻池不通宫沟水 藻泮花泉共照临 藻鉴渠能泾渭分 藻思天然顷刻开 藻井垂阴擢秀稀 藻井尚寒龙迹在 藻鉴水壶岂足观
蘋	蘋风荷雨洒面凉 蘋藻满盘无处奠 蘋汀游女能骑马 蘋蘩思荐独凄然 蘋风入驭来应易 蘋叶初齐白芷生 蘋叶风吹荷叶钱 蘋苔嫩色涵波绿 蘋香已有莲开信 蘋风轻剪浪花时
蘐	蘐死兰枯及老堂
蘂	蘂宫珠殿何年修 蘂珠殿上如曾闻 蘂珠仙子笑移烛 蘂殿瑶台寒彻骨 蘂气侵衣断客肠 蘂珠殿下鹤如云 蘂珠殿上堕遗簪
蘖	蘖山养子忒婆心 蘖膏紫漆自坚栗 蘖苦冰寒奉上台 蘖苦饧甘舌尽谙 蘖能苦兮梅能酸 蘖芽百氏草避耨
蘚	蘚蘚燮燮声渐繁
蘭	蘭燭連衢千對爛
蘗	蘗子无言鼻自酸
蘯	蘯胃海风和露吸
蘼	蘼芜涧边春草青 蘼芜芽櫱已暗长 蘼芜蘅芷逊孤芳 蘼芜白芷愁烟渚 蘼芜多处正沾巾 蘼芜亦是王孙草 蘼芜有恨从教掷 蘼芜渐遍楚宫碧 蘼芜盈手泣斜晖 蘼芜何罪亦遭烹
蘸	蘸岸烟波檥画船 蘸水门扉初半掩 蘸岸顿添三尺水 蘸水朱扉不上关 蘸甲递觞织似玉 蘸他春水画船头 蘸得蒟酱待劝郎 蘸甲从他酒百分 蘸甲递觞纤似玉 蘸甲从教玉笋斟
虀	虀盐灯火记初年 虀汤恐并酱醯无 虀臼方看金作屑 虀盐昔者谩儒宫 虀盐此地涵濡久 虀盐并日不嫌单 虀盐充腹灯一萤 虀盐度岁每无余 虀盐冷淡商今古 虀盐未必劣僧蔬
虆	虆耜而掩古无讥
彳	彳亍危岑神惕惕
彻	彻底掀翻自有人 彻底灵明破昏塞 彻底无依解转身 彻见二仪成一体 彻底洞然明皎洁 彻晓华灯照凤城 彻骨贫穷敌国富 彻见本来人面目 彻二仪万象根源 彻三际而周四维
役	役役终身非切己 役徒开汴前日放 役役人间祗是亲 役使山君作儿戏 役役身如不缆丹 役役徒为牛马走 役徒四万如屯螘 役役眼前何所直 役尽心神销尽骨 役梦劳魂苦相忆
彼	彼此观之无间然 彼此何尝有两般 彼美人兮春上下 彼日月之照明兮 彼者堪修我不宜 彼是彼非堪可重 彼既丈夫我亦然 彼自纷纷非我急 彼此如何较短长 彼何人哉轩与羲
徂	徂岁背人常冉冉 徂岁无异蛇赴壑 徂徕结侣根原固 徂岁消磨不满旬 徂岁峥嵘正多感 徂岁迫人殊可惊 徂岁如驰得我惊 徂岁将穷积雪来 徂岁易成双鬓秃 徂岁匆匆成绝叹
往	往事悠悠容细数 往日青楼天样远 往事旧游浑似梦 往年茏葱堂前路 往来一万三千里 往往取酒还独倾 往来身世两徒劳 往事后期空记省 往事不须凭陆羽
征	征西已付诸郎了 征人归路许多长 征人蓟北空回首 征雁年来得几回 征西车马羽书迟 征人去日殷勤嘱 征人一日换缁衣
徃	徃徃谓带花木香 徃日中都朋党兴 徃来不特地之灵
很	很石惊涛枕席喧 很石横空马沟血 很石犹存事可寻 很蟆食月天公惊
徊	徊翔犹在寺卿间
律	律调含来自古今 律转黄钟霜小霁 律吕尚可谐鸣球 律身行业凛冰霜 律应黄锺寒气苦 律按黄锺馀七日 律管飞灰报早春 律转一阳葭已动 律吕旋相六十宫 律令合时方帖妥
徇	徇俗聊将黍饤盘 徇时所得无几何 徇客随时自圆转 徇私无实荷宽纾 徇物情怀儿女操 徇被清露倚雕半 徇华大夫无此乐 徇人可否冀超迁 徇媒得食不复虑 徇俗不如翻著袜
徉	徉狂攘臂红尘市 徉卧尊前醉不醒
後	後之视今犹视古 後夜端门月正圆 後园次第数芳菲 後房深处第三姬 後山勒水向东驰 後人多少继遗踪 後会不知何处是 後庭一树瑶华缀 後园楮蕈已堪烹 後有仁人识此心
徒	徒劳四句语言争 徒使幽人作梦游 徒劳运智乱烹煎 徒劳流水与登山 徒遣萧郎问泪痕 徒飞轻埃舞空帷 徒令上将挥神笔 徒要教郎比并看 徒言万劫与千金 徒费功夫万万年
徐	徐娘怪我今疏懒 徐邈能中酒圣贤 徐熙小鸭水边花 徐家破镜昏如雾 徐行踏断流水声 徐行处处迥翛然 徐福行时书未焚 徐行不媿衣露肘 徐娘身老谩多情 徐州城上觅黄楼
従	従今潮上君须上 従臣暗泣新宫柳 従来佳茗似佳人 従来苏李得名双 従来直道不辜身 従官杂遝数徐陈 従教晋盗稍奔秦 従马北上为西路 従此远游心未阑 従此不看营丘图
徜	徜徉。就趁笙歌 徜徉药市经旬醉 徜徉闹市浑无畏 徜徉何异五湖舟 徜徉绿野春波上 徜徉某水某丘边 徜徉。玩世何妨 徜徉濯缨傲巨浸 徜徉。净几明窗
徘	徘徊一向几般心 徘徊白凤随君王 徘徊明月驻清光 徘徊跋马不忍去 徘徊空度可怜宵 徘徊常绕玉阶行 徘徊欲赋空茫然 徘徊把酒看苍天 徘徊赢得倚栏干 徘徊飞尽碧天云
徙	徙倚湖山欲暮时 徙倚桂枝空延伫 徙倚阑边临翠壑 徙倚阑干谁共语 徙倚斜阳怨晚秋 徙倚阑干君勿厌 徙倚栏干便晴霁 徙倚阑干送落晖 徙倚阑干一怆神 徙薪避火火更燔
從	從军上客彫龙藻 從政区区到白头 從容坐啸香凝寝 從此高禖美应新 從来作者共名模 從来玉谷有离鸾 從此阳春不为贵 從此高梧一见稀 從来酷暑不可避 從龙为雨复清闲
徨	徨徨客路欲何之
循	循环复始周旋鼎 循环反复无穷已 循环密数对沈烟 循水寻流不见源 循环流转复清泉 循阶竹粉沾衣袖 循槛琅玕粉沾衣 循吏功名两汉中 循墙绕柱觅君诗 循环浩劫无终古
御	御楼灯火发春温 御史府中乌夜啼 御厨不食索时新 御筵开处浮春色 御池水色春来好 御纱新制石榴裙 御前新赐紫罗襦 御宇多年求不得 御厨络绎送八珍
徧	徧寻紫阁与圭峰
微	微风新燕斗清奇 微幽兰之芳蔼兮 微吟莫厌伤多酒 微有寒些春雨好 微酸历齿助新妆 微风不动天如醉 微云红衬馀霞绮 微绽樱桃一颗红 微月帘栊曾暗认
徯	徯公把节慰民思
徭	徭妇清晨出深洞 徭夫河边行且哭 徭籍无名莫怨穷
德	德耀不嫌为隐髻 德齐任姒消骄傲 德山不会末后句 德山彻底老婆心 德山疑处问岩头 德山话堕龙潭笑 德云下妙峰之顶 德山父子太含胡 德睿宁安国中良 德耀归来虽富贵
徵	徵招不入幽人梦 徵归再掌西垣笔 徵租惟有吏过门 徵声巉绝何清峭 徵君避秦亦不归 徵韶新谱日边来 徵黄那复更踌躇 徵君只欲断知闻 徵侧持戈敌百男 徵书看即动蒲轮
徹	徹夜阴风恣怒号 徹骨清贫颇自怜
徽	徽音岂在纤厥趾 徽猷学士屡开藩 徽献凝操书道昌 徽穿虎豹畴能识 徽学诸孙亦俊游 徽名荐册缛仪陈 徽称显号又还新 徽音不独流笙管 徽音有永坤宁殿 徽音显号自尧门
巡	巡吹慢遍不相和 巡得鸾胶续断弦 巡天遥看一千河 巡檐索笑情何限 巡檐且索梅花笑 巡檐对语似谈空 巡索还无最堪忆 巡檐一笑风情别 巡行数墨看经快
巢	巢泥经雨更频添 巢栖燕子欲黄昏 巢燕成归秋景奇 巢乾燕乳虫供哺 巢居阁上春无数 巢居只恐高柯折 巢燕无情不更回 巢许身心俗避尧 巢燕引雏浑去尽 巢稳争如燕有家
川	川流赴海尘成岳 川原膴膴树斑斑 川上乾无逝去津 川泳云飞宾主意 川若不竞岂潺潺 川源应未少红霞 川云正作遮山计 川云借润支琴石 川僧素无头号脑 川下杏花浑欲雪
州	州桥南北是天街 州县劳人空役役 州县岂必真徒劳 州衙三面接秦淮 州北州南酒价低 州闾庠序少追随 州官攜酒共嬉游 州家申名使家抑 州东无暇看州西 州县仍催给河役
边	边陲来奏捷书频 边城吹角更吹笳 边城落照孤鸿外 边头。依旧防秋 边风飘飘那可度 边尘不动干戈戢 边城角罢春水渌 边庭飘飖那可度 边亭流血成海水 边声，怎生掩间
辽	辽海千年鹤乍归 辽阳驿使音尘绝 辽东小妇年十五 辽天宝月共相辉 辽空一箭九重城 辽阳无信带围宽 辽东人化扬州鹤 辽鹤重来忆梦游 辽天鼻孔齐穿却
达	达磨九年会不得 达者同游涅磐路 达理契经无作做 达得真宗有后前 达人岂羡金山玉 达磨曾经无损缺 达士招呼同啸傲 达得物情深道理 达道真人见者稀 达识尚凝常恍惚
迈	迈古超今地寸长 迈古超今亦轻触 迈古文章金鸑鷟 迈往欣逢第一流
迄	迄今语言犹可录 迄犬只知人是盗 迄今犹作野盘僧 迄遣奚奴为物色 迄今嘉定之辛巳 迄今已复为晋有 迄至如今醉未醒 迄今代有文章公 迄魏都兮息兰房 迄今客路懒工诗
迁	迁客今朝始是归 迁客不应常眊矂 迁客西还有几家 迁延。珊瑚筵上 迁莺飞上拂云枝 迁者追回流者还 迁客相看泪满衣 迁都岂不有关中 迁流还叹学齐优 迁林语软调莺舌
迅	迅雷陶壁奋飞梭 迅如飞电擘群山 迅霆一击开山门 迅霆夜擘干将匣 迅雷才震清飚起 迅速年华榆燧改 迅景流光容易度 迅雷楫下汗如流 迅归欃抢回日月 迅雷下击山壁裂
迂	迂拙仍辜圣主恩 迂疏任是傍人笑 迂疏早不营三窟 迂士岂堪新贵使 迂疏素不工栀貌 迂疏怀抱独君知 迂疏却喜门无客 迂愚长与懒相兼 迂拙羞营狡窟三
迟	迟暮不堪容易别 迟迟钟鼓初长夜 迟日园林悲昔游 迟留碧瓦看红影 迟日园林尝煮酒 迟涩飞动似玲珑 迟日风流转柳腰 迟留莫管城头角 迟回自负平生意 迟迟暖日群花秀
返	返魂依旧能倾国 返老还童鬓似鸦 返本还元已到乾 返本还元在己寻 返谤修行无圣力 返魂香入江南早 返朴纯诚斅三皇 返魂元学岭头梅 返本还元道气平 返闻自性同先觉
迒	迒蹊巢穴尽窒塞
进	进退存亡己自知 进退须凭日月权 进退须明卯酉门 进步须於百尺竿 进了丹书作抑诗 进人若将加诸膝 进不入以离尤兮 进退两楹俱未应 进退抽添须九转 进退雍容史上难
近	近时歌舞旧时情 近日门前溪水涨 近来恰似心头悟 近日衰翁病觉多 近来鬓底两三丝 近觉去天无几尺 近寒食雨草萋萋 近来人事半消磨 近来湖面亦收租 近来瞥见都无语
连	连城犹拥晋山河 连环新解玉玲珑 连夜阴云开晓景 连岭去天知几尺 连村绿暗晚藏乌 连峰去天不盈尺 连溪绿暗晚藏乌 连天芳草惊依旧 连宵风雨不须愁 连理带头双□□
违	违道奸径踖禁橐 违时贾祸亦缘公 违物行归廉士洁 违失真性従吏胥 违谏伏波终自困 违物离人不计年 违忧怀息性匪他 违背此恩难拯拔 违从兄食只厚诬 违覆由来讳诡随
迕	迕岁空思狐白裘 迕俗坐谈扪虱略
迓	迓鼓金销画领中 迓将蓬岛碧霞来
迎	迎长嘉节属芳辰 迎风冷笑桃杏花 迎得春来闻好语 迎荻遥闻过埭声 迎长时节近佳辰 迎客西来送客行 迎得紫姑占近信 迎长介寿恰三逢 迎得春光先到来 迎霜南阜枫林赤
远	远林屋散尚啼鸦 远水来从楼下路 远上寒山石径斜 远戍十年临的博 远近高低各不同 远山低尽不成歌 远汉碧云轻漠漠 远信还因归燕误
运	运用须凭龙与虎 运动形躯四体轻 运动则斗转星旋 运交华盖欲何求 运转但教经岁月 运水般柴呈妙用 运偶不同他往日 运化功能到者稀 运水搬柴事事宜
迨	迨兹于稔治最成 迨退宰辅如优伶 迨酒贱时须痛饮 迨晓风回散玉尘 迨暇相逢笑复歌 迨兹白发犹颛侗 迨此暇时须痛饮 迨余抱病卧匡床 迨似当年失母时 迨此暇时当举酒
迪	迪以至理滋无外
迭	迭代物华何足较 迭缘梯级出瓮盎 迭沁肝脾起老夫 迭奏黄钟与无射 迭唱更酬萃朱紫 迭嶂青云放晓晴 迭倡更酬卷轴丰 迭和山歌逗远林 迭吟怒涌源泉似 迭将寿酒酌金蕉
迩	迩来寂淹无分音 迩来每踏沟西道 迩来四壁愈萧然 迩来三月食无盐 迩来荆楚地行仙 迩来沈醉是生涯 迩来封禅和平久 迩英新殿在西厢 迩古迄今光灿烂
迦	迦叶只因曾冷笑 迦叶谁今又笑花 迦叶无闻无异闻 迦叶无端沾一滴 迦维摩竭双林树 迦叶师兄是虚妄 迦叶见花吾未解 迦那提波针投钵 迦叶阿难不相知 迦叶偷颜笑展眉
迥	迥临林村傍溪桥 迥若寒空动烟雪 迥超今古类难齐 迥秀长在无人境 迥然突出千秋表 迥立阊阖生长风 迥然吾亦见真吾 迥然标格冰肌莹 迥出中间与两头 迥迢午圣数难穷
述	述空文以见志兮 述明弃官归东林 述性妙思穷孔孟 述作正须陶令手 述作纵横道不穷 述作纷其具存兮 述作比图人世解 述逃内溃古云多 述职那同此日荣 述作还惊心力尽
迢	迢迢不断如春水 迢迢长在君行处 迢迢天汉西南落 迢迢空劫勿能收 迢迢云水恨难忘 迢迢枕上望明河 迢递前村深雪里 迢峣太华俯咸京 迢递金壶漏水长 迢迢云水横清浅
迤	迤逦跻攀登翠岭 迤逦枝条自柔软 迤逦。对酒当歌 迤逦。渐成春意 迤逦骡网度上关 迤燎轻笼剑佩光 迤逦聚星楼上雪 迤逦飞轮催杖履 迤逦传杯盈绮席 迤染浮华贪爱恋
迮	迮飞不着诗徒作
迳	迳写此篇为疏引 迳竹当门一里过 迳草不锄随意绿 迳庭大不近人情 迳无吟屐损苍苔 迳入坐床宁肯嗔 迳曲通村深复深 迳往高门待汝车 迳雨空余玛瑙红
迸	迸出蟾光遍界辉 迸阶閒筍欲成阴 迸泉飒飒飞木末 迸水定侵香案湿 迸火流金炉鞴炎 迸泪成珠玉盘泻 迸泪幽吟事如昨 迸破顶门神出现 迸阶春笋隔篱根 迸笋穿阶踏还出
迹	迹似还山不雨云 迹似磻溪应有待 迹入尘中惭有累 迹虽甚疏情有余 迹逮春明孙北平 迹同玄豹依深雾 迹已徂兮心未扃 迹似燕鸿真拙计 迹同飞鸟栖高树 迹参诗雅何年尽
迷	迷心未达菩提力 迷途争与轻轻泄 迷情似海难超越 迷者徒将万卷看 迷时只道有西天 迷绳自缚聚愁城 迷里忽然逢达磨 迷途终是任埋沈 迷花倚石忽已暝 迷槎问我是何津
迺	迺翁飞旐过前村
逆	逆顺之中关理性 逆行顺行天莫测 逆鳞可摩若家狗 逆顺短长休要说 逆浪何须锦缆牵 逆水之波经几回 逆浪禹门遭点额 逆贼天亡自荒宴 逆恶求真善不依
适	适意手攀檐外柳 适意鱼鸟自双双 适兴吟诗似有神 适逢紫盖去蒙尘 适性携筇任登眺 适意人生随处好 适遇今年东鄙阜 适闻有客金陵至 适道全由就师学 适看鸿雁岳阳回
送	送尽斜阳未忍还 送了斜阳月又生 送君直上金銮殿 送愁直到津头路 送我今夜岳阳楼 送公归趣舍人装 送老三家水竹村 送君何处古台西 送得当筵玉盏空 送尽残春更出游
逃	逃暑广寒宫似水 逃移生死见功程 逃虚尚说闻人喜 逃禅未到天然处 逃去逃来吸北风 逃蜂匿蝶踏地来 逃难人多分隙地 逃酒人随霜阵北 逃屋无人草满家 逃吴辞楚无家住
退	退步不居尊贵位 退藏只合卧蜗庐 退归自合称山长 退归拟学旧桃符 退花新绿渐团枝 退将复修吾初服 退朝燕坐万缘空 退朝日上青花道 退人若将坠诸渊 退红衫子乱蜂儿
选	选场要射如来策 选进仙韶第一人 选取灵芝草尽芟 选日司衣进大裘 选胜斋轻漾碧涟 选入昭阳奉玉舆 选得幽居惬野情 选佛选官俱已了 选佛若无如是眼 选署众神以并毂
逊	逊斋今幸传闻孙 逊国同来访圣谟 逊若避让行而随 逊谢不敢加嗔诃 逊畔以全诸父义 逊泉落石声玲珑 逊国曩时犹易耳 逊遁亲听康衢歌 逊敏工人不可偏
追	追欢最数牡丹时 追随世好学风流 追怀往事记新词 追寻犹记清明近 追数樽前插花客 追随不及桃花宴 追持我兮走茕茕 追思往事好沾巾 追风千里堕君家 追慕慈颜涕每倾
迴	迴车愿拥隼舆来
逋	逋仙孤屿犹堪去 逋客能从折简呼 逋仙千载独知心 逋仙祠前尘土清 逋逃茫茫不见归 逋仙解道影南斜 逋翁久没厌凡才 逋仙诗胜多多许
逞	逞娇搀占东风早 逞志真成穷鸭绿 逞画图真意气异 逞技献谋官府前 逞艳呈祥祗自殓
递	递年比较未尝亏 递晓风回散玉尘 递相祖述复先谁 递肖何妨屡普陀 递赏名园只似家 递以勇力相牵制 递驿时供塞上酥 递得莺声过柳来 递趱庸回联鼎食 递相映带可行止
逗	逗引灵童常跳踯 逗晓阑干沾露水 逗红蕉叶底微凉 逗得醒来横脆管 逗得安排金粟遍 逗衣梅润试香篝 逗晓莺啼声昵昵 逗石穿崖水自忙 逗到冷泉几制肘
逢	逢春但笑乐花秋 逢场作戏弄心花 逢着五弦琴绣袋 逢人问道归何处 逢春便见野花亲 逢人只好哭苍天 逢场且了游戏事 逢春便觉飘蓬苦 逢春总有看花情 逢迎少壮非吾道
逦	逦迤出拜何骈罗 逦迤前冈压后冈 逦迤前冈厌后冈
逡	逡巡走马传声急 逡巡渐入花深处 逡巡业海皆枯竭 逡巡队仗何颠逸 逡巡下令艺者全 逡巡弹得六幺彻 逡巡大遍凉州彻 逡巡女伴来寻访 逡巡又过潇湘雨 逡巡陈子果亦至
逝	逝将从翁走如麋 逝波不舍山常好 逝将归去诛蓬蒿 逝者若斯安得停 逝波终日去滔滔 逝多容你更交加 逝水为谁留泡影 逝者如斯书夜长 逝波昼夜老相催 逝从公游亦未迟
速	速剪寒梢浸玉壶 速认元初真面目 速整仙胎归上会 速传驿马进王侯 速教归去莫令迟 速觅一壶随处醉 速令直下发菩提 速禄飒拉动檐隙 速排丝竹调宫徵 速须亲近正知人
逖	逖泉已矣又菇蕕
透	透清风明月灵光 透得过流河香象 透云寒日半晴阴 透户凉生初暑退 透出火龙归造化 透入虚窗窍窍通 透出劫空心相微 透法身兮藏北斗 透帘三丈日华高
途	途穷气盖长安儿 途穷世事巧相违 途中久客忆家山 途中忽遇李先生 途中若立三千客 途若穷时一笑回 途穷反遭俗眼白 途何足泣杨涟洏 途穷谁为一举手 途穷相雇问因由
逍	逍遥不假上仙梯 逍遥道德后宗亚 逍遥真是地行仙 逍遥里外混诸天 逍遥圣境洞中天 逍遥物外世相传 逍遥物外未曾抛 逍遥我命在玄穹 逍遥本意离尘埃 逍遥尽入扣玄歌
造	造化玄微事莫同 造物无心还有意 造化可能偏有意 造物儿童作剧狂 造物小儿忺簸弄 造化曾居公掌握 造物乘除理固然 造化小儿无定据 造化不知人有助 造物破荒开此花
逐	逐气寻香云水客 逐伴强除眉上恨 逐禄天涯半此生 逐胜归来雨未晴 逐伴不知春路远 逐利争名忙者事 逐水那容许大舟 逐马银杯误认真 逐末兴心成执滞
逌	逌然谁识坐忘心 逌然在心不在境
逵	逵道一朝随地辟
逻	逻卒奔走驰金吾 逻逤琵琶捻绿丝 逻檀凤凰斫金槽 逻候不惊烽燧息 逻逤川寒只有雕 逻逤孤城雁著行 逻兵酣卧忘钟韵 逻娑沙尘哀怨生
逶	逶迤十里平溪路 逶迤三径带重肖 逶迤深谷白昼静 逶迤陇断出平堤 逶迤势入龙津聚 逶迤箫鼓来天上 逶迤一虎出马前 逶迤江练秋逾白 逶迤霁色绕江山 逶迤辇路过西池
逸	逸兴狂来连海阔 逸人未必犹酣酒 逸群绝足信殊杰 逸乐安知与祸双 逸翮将成莫恋群 逸韵偏宜夏景长 逸气棱层冲碧汉 逸书百篇今尚存 逸气棱棱凌九区 逸气峥嵘今老矣
過	過去生中差一念
週	週乃秀色自清机
逼	逼脸横颐咽复匀 逼人气韵霜天晓 逼来霜雪更枯筠 逼砌筠窗围小院 逼耳好鸟鸣韶濩 逼座阴阴将下雪 逼人上树拔却梯 逼拐挑尖月一轮 逼寒虚空无缝罅 逼人凉气石渠泉
遍	遍索绿珠围内第 遍舟未用速归程 遍插茱萸少一人 遍山松柏撼悲风 遍界通身无背面 遍阅芳园闲半昼 遍绕篱边日渐斜 遍地残花庭院静 遍赏扬州百种花 遍地轻阴绿满枝
遄	遄飞借与秋风便 遄提小队出南中 遄返岩廊岂自由 遄归北狩定有期 遄归承明定不日 遄车偏值雨连天 遄归黄阁卧貂蝉 遄归清禁掌丝纶 遄许勋名上鼎钟
道	道傍过者问行人 道人无事更参看 道逢麹车口流涎 道人还了鸳鸯债 道逢醉叟卧黄昏 道德文章传几世 道是难来元却易 道是难求元却易 道山绛阙知何处
遁	遁相传授玄玄语 遁来关下无人舍 遁逸从来格自高 遁迹惭无慧远名 遁去不同秦客逐 遁迹岂劳登远岫 遁迹无图匿姓名 遁翁堪配不传轲 遁叟高眠石磴云 遁野有情看拾翠
